iter	Passed	Remaining
0	1	151
1	2	137
2	4	133
3	5	124
4	6	123
5	7	120
6	9	121
7	10	125
8	13	132
9	14	129
10	15	125
11	16	122
12	17	119
13	19	118
14	20	117
15	21	114
16	22	112
17	24	110
18	25	107
19	26	106
20	27	105
21	29	103
22	30	101
23	31	99
24	32	98
25	34	97
26	35	96
27	36	94
28	38	93
29	39	91
30	40	90
31	41	88
32	43	87
33	44	86
34	46	85
35	47	84
36	48	82
37	50	81
38	51	80
39	53	79
40	54	78
41	55	76
42	56	74
43	57	73
44	58	72
45	60	70
46	61	69
47	62	67
48	64	66
49	65	65
50	67	64
51	69	63
52	70	62
53	71	61
54	72	59
55	73	57
56	75	56
57	76	55
58	77	53
59	78	52
60	80	51
61	81	49
62	82	48
63	84	47
64	85	45
65	86	44
66	87	43
67	88	41
68	90	40
69	91	39
70	92	37
71	93	36
72	95	35
73	96	33
74	97	32
75	98	31
76	100	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	109	20
84	110	19
85	112	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	119	10
92	120	9
93	122	7
94	123	6
95	126	5
96	127	3
97	128	2
98	130	1
99	131	0
