iter	Passed	Remaining
0	152	152172
1	154	77217
2	156	51984
3	158	39412
4	160	31951
5	163	27012
6	164	23363
7	166	20604
8	167	18456
9	203	20109
10	215	19374
11	216	17857
12	218	16583
13	220	15515
14	222	14594
15	224	13834
16	226	13084
17	228	12441
18	229	11864
19	231	11350
20	233	10889
21	235	10461
22	237	10077
23	239	9723
24	240	9380
25	242	9079
26	244	8801
27	261	9063
28	262	8798
29	264	8556
30	266	8334
31	268	8123
32	271	7950
33	272	7749
34	274	7569
35	275	7387
36	277	7215
37	278	7052
38	280	6911
39	282	6770
40	290	6792
41	292	6671
42	294	6550
43	319	6931
44	320	6808
45	322	6682
46	324	6575
47	326	6471
48	328	6370
49	329	6266
50	332	6194
51	334	6103
52	337	6021
53	339	5938
54	340	5852
55	342	5775
56	344	5706
57	347	5648
58	351	5611
59	370	5804
60	372	5727
61	374	5664
62	376	5596
63	384	5628
64	387	5580
65	389	5516
66	391	5449
67	392	5380
68	400	5402
69	401	5340
70	403	5279
71	406	5243
72	407	5180
73	421	5280
74	424	5233
75	429	5226
76	432	5182
77	434	5137
78	436	5085
79	438	5046
80	440	4998
81	443	4965
82	444	4907
83	445	4859
84	447	4813
85	449	4781
86	451	4733
87	460	4767
88	461	4726
89	463	4683
90	465	4646
91	467	4613
92	473	4618
93	475	4582
94	476	4543
95	478	4502
96	479	4466
97	481	4430
98	482	4395
99	490	4416
100	492	4379
101	493	4344
102	494	4309
103	496	4273
104	497	4238
105	499	4212
106	501	4188
107	504	4167
108	505	4133
109	506	4101
110	508	4069
111	509	4038
112	510	4008
113	512	3980
114	519	3998
115	521	3976
116	523	3949
117	524	3922
118	526	3895
119	527	3869
120	529	3848
121	531	3823
122	535	3818
123	539	3808
124	540	3786
125	551	3825
126	555	3818
127	557	3797
128	559	3780
129	561	3761
130	564	3741
131	575	3782
132	577	3762
133	578	3740
134	580	3718
135	581	3696
136	590	3719
137	592	3699
138	594	3685
139	596	3664
140	599	3654
141	603	3645
142	671	4025
143	673	4003
